movie_id,country_id
133093,5
133093,16
128853,5
1462769,5
780504,5
80684,5
2396566,5
309377,5
75686,5
1995329,5
1440129,5
2608178,5
1718747,12
1718747,40
1718747,18
1718747,0
338751,5
338751,2
319061,5
132347,5
2626350,5
1538403,5
1538403,2
1538403,3
171804,5
1694021,5
1694021,3
1694020,5
84855,5
2190838,3
2415022,5
246578,5
2352802,5
2210781,5
2106476,43
2106476,19
103772,0
103772,5
54389,0
103776,5
103776,1
4046784,5
54387,5
862846,5
70077,5
80354,5
2024519,7
2024519,31
2431286,1
2431286,5
2431286,0
1296898,5
311289,5
1032825,5
448157,5
405094,2
2172584,3
2172584,2
2172584,0
2172584,5
1726589,5
1726589,3
102951,5
91763,1
91763,5
3477480,44
117665,5
117666,5
381681,5
2309788,52
2309788,0
100157,5
2053425,0
2053425,7
488658,5
100150,5
2461132,15
1702439,5
2369135,5
2369135,1
2369135,0
2369135,51
93870,5
1949548,15
3247714,5
3247714,1
110148,5
1262416,5
2830416,1
2294473,25
2170439,5
1340107,43
1340107,19
1595656,5
91167,5
118799,6
1723811,1
203019,5
375063,5
375063,48
1932767,5
111495,0
111495,4
111495,13
370032,5
1091722,5
1216491,5
1886493,5
1470827,1
106701,5
2364841,5
1674771,5
117407,43
2611626,5
1631707,5
2186562,2
480687,5
2326612,3
1815708,5
2302755,5
3346824,14
3346824,2
106519,5
120735,1
120737,9
120737,5
120731,6
104257,5
167404,5
112579,5
1491044,5
117060,5
2726560,5
2893490,5
795421,5
795421,1
795421,2
2011159,5
301357,2
2345112,5
482571,5
482571,1
43456,5
100934,5
100935,5
2265534,5
332379,5
332379,2
162222,5
128445,5
2058107,16
2058107,1
2058107,4
1047540,5
2574698,15
376994,3
376994,5
376994,1
1183919,5
1183919,1
304415,5
256524,5
256524,2
1588337,0
1268799,5
2582496,5
1791682,5
2621000,15
365830,5
365830,2
889573,5
99005,5
475276,5
475276,1
475276,0
473705,5
473705,1
473705,0
1966604,1
44937,5
1320253,5
68646,5
1924396,6
93058,1
93058,5
116209,5
116209,1
2316411,3
2316411,12
2316411,0
70666,5
70666,6
1440728,5
1440728,1
1568150,5
1924394,1
1924394,0
1924394,7
1924394,6
91830,0
3705388,6
95827,1
280707,1
280707,5
280707,6
1029360,5
1029360,3
2473682,5
2071620,52
2071620,2
2910274,5
116683,1
116683,5
113986,5
2870612,5
3029766,1
1067583,5
388795,5
388795,3
120660,5
1487931,53
134084,5
1043726,5
272207,5
272207,3
133751,5
264472,5
1572315,5
2044040,5
1826660,18
478970,5
430922,5
430922,2
2799166,5
2015381,5
2015381,1
912583,5
87004,5
959337,5
959337,1
113540,5
1570728,5
1272878,5
790736,5
266697,5
84787,5
3311384,1
209163,5
479952,5
2334649,5
419887,5
419887,24
1104001,5
79522,5
1403981,5
2357291,5
1859650,5
1859650,6
1859650,12
1532503,5
