movie_id,genre_id
443489,18
30522,17
30522,16
85780,8
443680,2
443680,12
443680,3
110632,12
110632,3
1945087,3
2511428,12
2511428,3
2511428,1
119194,20
119194,8
119194,14
94737,4
94737,3
94737,11
887883,4
887883,12
887883,3
1375666,0
1375666,9
1375666,13
114069,0
114069,3
114069,1
52357,9
52357,5
52357,1
56512,3
56512,4
1872181,0
1872181,7
1872181,11
2637276,4
2332707,4
2332707,12
2332707,3
84237,15
84237,6
84237,11
120663,3
120663,9
120663,1
2402105,4
2402105,12
2402105,3
195714,8
195714,1
109040,4
1772424,4
1772424,3
3235888,8
3235888,9
3235888,1
120669,4
2450186,8
2450186,1
114168,3
114168,11
114168,9
416315,8
938330,8
938330,9
938330,1
1758795,4
2097298,2
2097298,3
2097298,16
186151,12
186151,3
186151,13
1430607,6
1430607,7
1430607,4
350258,2
350258,3
350258,14
361862,3
361862,1
77416,3
77416,21
1028528,1
3682448,2
3682448,3
3682448,10
2383068,8
2383068,1
2788228,4
120591,0
120591,7
120591,13
462499,0
462499,1
462499,21
120598,7
120598,15
452594,4
452594,3
452594,5
51658,4
51658,18
51658,5
808510,4
808510,15
808510,11
83658,13
83658,1
3671074,0
3671074,4
3671074,5
1562872,7
1562872,4
1562872,3
120601,4
120601,3
120601,11
4156700,4
65063,4
65063,12
2395199,0
2395199,1
1381404,3
1381404,1
54144,3
1661420,12
1661420,3
357413,4
1637725,4
1637725,11
3202890,3
3202890,1
2359002,3
2359002,9
2359002,1
3715320,3
3715320,9
70511,2
70511,12
70511,3
451094,12
451094,3
451094,8
350720,3
1836212,13
1836212,1
4229236,17
4229236,2
4229236,14
221073,2
221073,4
221073,12
999913,8
999913,1
1809398,2
1809398,3
1809398,16
102713,3
824316,3
44081,3
414951,3
414951,1
1988781,8
1988781,1
1821694,0
1821694,4
1821694,12
1854564,7
1854564,15
1854564,11
211933,12
211933,9
211933,1
1360860,3
1360860,9
1360860,1
87843,12
87843,3
433387,0
433387,12
433387,3
1234548,4
1234548,21
2262227,6
2262227,7
2262227,4
